team_name,validation_accuracy,validation_f1_score,timestamp
Idrees_submission,0.5555555555555556,0.5368421052631579,2026-03-06 09:32:04
tasneem,0.5,0.5020703933747411,2026-04-03 10:16:13
llm_llama33_70b,0.6111111111111112,0.46717817561807334,2026-05-09 09:56:48
AIkram,0.4722222222222222,0.4617283950617284,2026-03-13 21:34:24
sanae_submission,0.5,0.45396825396825397,2026-03-06 23:21:58
gpt5_4_submission,0.4444444444444444,0.44575163398692813,2026-05-16 00:25:49
Claude_sonnet,0.4166666666666667,0.42822966507177035,2026-05-08 23:16:51
Bijay,0.4166666666666667,0.4185819548138389,2026-04-06 10:19:40
RosaPY,0.4166666666666667,0.40867613331381447,2026-04-05 02:46:47
VinitSingroha,0.3888888888888889,0.4002489884842826,2026-03-22 13:56:12
Mubaraq,0.4166666666666667,0.3960506926024167,2026-03-23 22:45:48
faranbutt,0.3888888888888889,0.3947063688999173,2026-03-12 14:31:12
nour_maj,0.4722222222222222,0.3945521506497116,2026-04-04 22:43:29
hadil,0.4722222222222222,0.383061383061383,2026-04-02 23:01:37
Muhammad_Isah,0.3888888888888889,0.3523391812865497,2026-03-05 15:39:10
Gemini-3-flash,0.3888888888888889,0.33465633465633465,2026-05-14 01:17:53
LLM_Claude_Opus_47,0.3611111111111111,0.32646520146520147,2026-05-04 12:18:02
emmanuel_owusu,0.3611111111111111,0.32646520146520147,2026-04-04 19:12:21
Jawa_Habib,0.3888888888888889,0.3249947884094226,2026-03-09 23:23:46
tamiru,0.4166666666666667,0.321989121989122,2026-03-07 20:35:30
Abderrahmane_Kasmi,0.25,0.221424774056353,2026-03-05 23:11:01
Sargam_Goyal,0.4444444444444444,0.20512820512820515,2026-03-06 20:27:56
Qwen2_5_Coder_32B_Instruct,0.4166666666666667,0.19607843137254902,2026-05-13 06:18:56
